"name","desc","coded"
"DOEID","Unique identifier for each respondent","10001 - 	Unique identifier for each respondent
"
"KWHCW","Electricity usage for clothes washers, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHCDR","Electricity usage for clothes dryers, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHDWH","Electricity usage for dishwashers, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHLGT","Electricity usage for indoor and outdoor lighting, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHTVREL","Electricity usage for all televisions and related peripherals, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHTV1","Electricity usage for first televisions, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHTV2","Electricity usage for second televisions, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHAHUHEAT","Electricity usage for air handlers and boiler pumps used for heating, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHAHUCOL","Electricity usage for air handlers used for cooling, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHEVAPCOL","Electricity usage for evaporative coolers, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHCFAN","Electricity usage for ceiling fans, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHDHUM","Electricity usage for dehumidifiers, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHHUM","Electricity usage for humidifiers, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHPLPMP","Electricity usage for swimming pool pumps, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHHTBPMP","Electricity usage for hot tub pumps, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHHTBHEAT","Electricity usage for hot tub heaters, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHNEC","Electricity usage for other devices and purposes not elsewhere classified, in kilowatthours, 2015","NA	Kilowatthours
"
"BTUEL","Total site electricity usage, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELSPH","Electricity usage for space heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELCOL","Electricity usage for air conditioning (central systems and individual units), in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELWTH","Electricity usage for water heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELRFG","Electricity usage for all refrigerators, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELRFG1","Electricity usage for first refrigerators, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELRFG2","Electricity usage for second refrigerators, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELFRZ","Electricity usage for freezers, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELCOK","Electricity usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELMICRO","Electricity usage for microwaves, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELCW","Electricity usage for clothes washers, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELCDR","Electricity usage for clothes dryers, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELDWH","Electricity usage for dishwashers, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELLGT","Electricity usage for indoor and outdoor lighting, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELTVREL","Electricity usage for all televisions and related peripherals, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELTV1","Electricity usage for first televisions, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELTV2","Electricity usage for second televisions, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELAHUHEAT","Electricity usage for air handlers and boiler pumps used for heating, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELAHUCOL","Electricity usage for air handlers used for cooling, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELEVAPCOL","Electricity usage for evaporative coolers, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELCFAN","Electricity usage for ceiling fans, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELDHUM","Electricity usage for dehumidifiers, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELHUM","Electricity usage for humidifiers, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELPLPMP","Electricity usage for swimming pool pumps, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELHTBPMP","Electricity usage for hot tub pumps, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELHTBHEAT","Electricity usage for hot tub heaters, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUELNEC","Electricity usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","NA	Thousand Btu
"
"DOLLAREL","Total electricity cost, in dollars, 2015","NA	US Dollars
"
"DOLELSPH","Electricity cost for space heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"DOLELCOL","Electricity cost for air conditioning (central systems and individual units), in dollars, 2015","NA	US Dollars
"
"DOLELWTH","Electricity cost for water heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"DOLELRFG","Electricity cost for all refrigerators, in dollars, 2015","NA	US Dollars
"
"DOLELRFG1","Electricity cost for first refrigerators, in dollars, 2015","NA	US Dollars
"
"DOLELRFG2","Electricity cost for second refrigerators, in dollars, 2015","NA	US Dollars
"
"DOLELFRZ","Electricity cost for freezers, in dollars, 2015","NA	US Dollars
"
"DOLELCOK","Electricity cost for cooking (stoves, cooktops, and ovens), in dollars, 2015","NA	US Dollars
"
"DOLELMICRO","Electricity cost for microwaves, in dollars, 2015","NA	US Dollars
"
"DOLELCW","Electricity cost for clothes washers, in dollars, 2015","NA	US Dollars
"
"DOLELCDR","Electricity cost for clothes dryers, in dollars, 2015","NA	US Dollars
"
"DOLELDWH","Electricity cost for dishwashers, in dollars, 2015","NA	US Dollars
"
"DOLELLGT","Electricity cost for indoor and outdoor lighting, in dollars, 2015","NA	US Dollars
"
"DOLELTVREL","Electricity cost for all televisions and related peripherals, in dollars, 2015","NA	US Dollars
"
"DOLELTV1","Electricity cost for first televisions, in dollars, 2015","NA	US Dollars
"
"DOLELTV2","Electricity cost for second televisions, in dollars, 2015","NA	US Dollars
"
"DOLELAHUHEAT","Electricity cost for air handlers and boiler pumps used for heating, in dollars, 2015","NA	US Dollars
"
"DOLELAHUCOL","Electricity cost for air handlers used for cooling, in dollars, 2015","NA	US Dollars
"
"DOLELEVAPCOL","Electricity cost for evaporative coolers, in dollars, 2015","NA	US Dollars
"
"DOLELCFAN","Electricity cost for ceiling fans, in dollars, 2015","NA	US Dollars
"
"DOLELDHUM","Electricity cost for dehumidifiers, in dollars, 2015","NA	US Dollars
"
"DOLELHUM","Electricity cost for humidifiers, in dollars, 2015","NA	US Dollars
"
"DOLELPLPMP","Electricity cost for swimming pool pumps, in dollars, 2015","NA	US Dollars
"
"DOLELHTBPMP","Electricity cost for hot tub pumps, in dollars, 2015","NA	US Dollars
"
"DOLELHTBHEAT","Electricity cost for hot tub heaters, in dollars, 2015","NA	US Dollars
"
"DOLELNEC","Electricity cost for other devices and purposes not elsewhere classified, in dollars, 2015","NA	US Dollars
"
"CUFEETNG","Total natural gas usage, in hundred cubic feet, 2015","NA	Hundred cubic feet of natural gas
"
"CUFEETNGSPH","Natural gas usage for space heating, main and secondary, in hundred cubic feet, 2015","NA	Hundred cubic feet of natural gas
"
"CUFEETNGWTH","Natural gas usage for water heating , main and secondary, in hundred cubic feet, 2015","NA	Hundred cubic feet of natural gas
"
"CUFEETNGCOK","Natural gas usage for cooking (stoves, cooktops, and ovens), in hundred cubic feet, 2015","NA	Hundred cubic feet of natural gas
"
"CUFEETNGCDR","Natural gas usage for clothes dryers, in hundred cubic feet, 2015","NA	Hundred cubic feet of natural gas
"
"CUFEETNGPLHEAT","Natural gas usage for swimming pool heaters, in hundred cubic feet, 2015","NA	Hundred cubic feet of natural gas
"
"CUFEETNGHTBHEAT","Natural gas usage for hot tub heaters, in hundred cubic feet, 2015","NA	Hundred cubic feet of natural gas
"
"CUFEETNGNEC","Natural gas usage for other devices and purposes not elsewhere classified, in hundred cubic feet, 2015","NA	Hundred cubic feet of natural gas
"
"BTUNG","Total natural gas usage, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUNGSPH","Natural gas usage for space heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUNGWTH","Natural gas usage for water heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUNGCOK","Natural gas usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","NA	Thousand Btu
"
"BTUNGCDR","Natural gas usage for clothes dryers, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUNGPLHEAT","Natural gas usage for swimming pool heaters, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUNGHTBHEAT","Natural gas usage for hot tub heaters, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUNGNEC","Natural gas usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","NA	Thousand Btu
"
"DOLLARNG","Total natural gas cost, in dollars, 2015","NA	US Dollars
"
"DOLNGSPH","Natural Gas cost for space heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"DOLNGWTH","Natural gas cost for water heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"DOLNGCOK","Natural gas cost for cooking (stoves, cooktops, and ovens), in dollars, 2015","NA	US Dollars
"
"DOLNGCDR","Natural gas cost for clothes dryers, in dollars, 2015","NA	US Dollars
"
"DOLNGPLHEAT","Natural gas cost for swimming pool heaters, in dollars, 2015","NA	US Dollars
"
"DOLNGHTBHEAT","Natural gas cost for hot tub heaters, in dollars, 2015","NA	US Dollars
"
"DOLNGNEC","Natural gas cost for other devices and purposes not elsewhere classified, in dollars, 2015","NA	US Dollars
"
"GALLONLP","Total propane usage, in gallons, 2015","NA	Gallons of propane
"
"GALLONLPSPH","Propane usage for space heating, main and secondary, in gallons, 2015","NA	Gallons of propane
"
"GALLONLPWTH","Propane usage for water heating, main and secondary, in gallons, 2015","NA	Gallons of propane
"
"GALLONLPCOK","Propane usage for cooking (stoves, cooktops, and ovens), in gallons, 2015","NA	Gallons of propane
"
"GALLONLPCDR","Propane usage for clothes dryers, in gallons, 2015","NA	Gallons of propane
"
"GALLONLPNEC","Propane usage for other devices and purposes not elsewhere classified, in gallons, 2015","NA	Gallons of propane
"
"BTULP","Total propane usage, in thousand Btu, 2015","NA	Thousand Btu
"
"BTULPSPH","Propane usage for space heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"BTULPWTH","Propane usage for water heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"BTULPCOK","Propane usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","NA	Thousand Btu
"
"BTULPCDR","Propane usage for clothes dryers, in thousand Btu, 2015","NA	Thousand Btu
"
"BTULPNEC","Propane usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","NA	Thousand Btu
"
"DOLLARLP","Total cost of propane, in dollars, 2015","NA	US Dollars
"
"DOLLPSPH","Propane cost for space heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"DOLLPWTH","Propane cost for water heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"DOLLPCOK","Propane cost for cooking (stoves, cooktops, and ovens), in dollars, 2015","NA	US Dollars
"
"DOLLPCDR","Propane cost for clothes dryers, in dollars, 2015","NA	US Dollars
"
"DOLLPNEC","Propane cost for other devices and purposes not elsewhere classified, in dollars, 2015","NA	US Dollars
"
"GALLONFO","Total fuel oil/kerosene usage, in gallons, 2015","NA	Gallons of fuel oil/kerosene
"
"GALLONFOSPH","Fuel oil/kerosene usage for space heating, main and secondary, in gallons, 2015","NA	Gallons of fuel oil/kerosene
"
"GALLONFOWTH","Fuel oil/kerosene usage for water heating, main and secondary, in gallons, 2015","NA	Gallons of fuel oil/kerosene
"
"GALLONFONEC","Fuel oil/kerosene usage for other devices and purposes not elsewhere classified, in gallons, 2015","NA	Gallons of fuel oil/kerosene
"
"BTUFO","Total fuel oil/kerosene usage, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUFOSPH","Fuel oil/kerosene usage for space heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUFOWTH","Fuel oil/kerosene usage for water heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"BTUFONEC","Fuel oil/kerosene usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","NA	Thousand Btu
"
"DOLLARFO","Total cost of fuel oil/kerosene, in dollars, 2015","NA	US Dollars
"
"DOLFOSPH","Fuel oil/kerosene cost for space heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"DOLFOWTH","Fuel oil/kerosene cost for water heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"DOLFONEC","Fuel oil/kerosene cost for other devices and purposes not elsewhere classified, in dollars, 2015","NA	US Dollars
"
"TOTALBTU","Total usage, in thousand Btu, 2015","NA	Thousand Btu
"
"TOTALDOL","Total cost, in dollars, 2015","NA	US Dollars
"
"TOTALBTUSPH","Total usage for space heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"TOTALDOLSPH","Total cost for space heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"TOTALBTUWTH","Total usage for water heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
"
"TOTALDOLWTH","Total cost for water heating, main and secondary, in dollars, 2015","NA	US Dollars
"
"TOTALBTUCOK","Total usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","NA	Thousand Btu
"
"TOTALDOLCOK","Total cost for cooking (stoves, cooktops, and ovens), in dollars, 2015","NA	US Dollars
"
"TOTALBTUCDR","Total usage for clothes dryers, in thousand Btu, 2015","NA	Thousand Btu
"
"TOTALDOLCDR","Total cost for clothes dryers, in dollars, 2015","NA	US Dollars
"
"TOTALBTUPL","Total usage for swimming pool pumps and heaters, in thousand Btu, 2015","NA	Thousand Btu
"
"TOTALDOLPL","Total cost for swimming pool pumps and heaters, in dollars, 2015","NA	US Dollars
"
"TOTALBTUHTB","Total usage for hot tub pumps and heaters, in thousand Btu, 2015","NA	Thousand Btu
"
"TOTALDOLHTB","Total cost for hot tub pumps and heaters, in dollars, 2015","NA	US Dollars
"
"TOTALBTUNEC","Total usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","NA	Thousand Btu
"
"TOTALDOLNEC","Total cost for other devices and purposes not elsewhere classified, in thousand Btu, 2015","NA	US Dollars
"
"ELXBTU","Kilowatthour to Btu conversion factor, 2015","3.4119999999999999	Thousand Btu per kilowatthour
"
"PERIODEL","Number of days covered by Energy Supplier Survey electricity billing data and used to calculate annual consumption and expenditures","1	330 days or more
2	At least 146, but less than 330 days
3	At least 60, but less than 146 days
4	Less than 60 days
5	No billing data collected or billing data not used
"
"ZELAMOUNT","Imputation flag for total electricity usage","1	Imputed (No billing data collected or billing data not used)
0	Not imputed
"
"NGXBTU","Localized cubic feet to Btu conversion factor, 2015","NA	Thousand Btu per cubic feet of natural gas (varies)
"
"PERIODNG","Number of days covered by Energy Supplier Survey natural gas billing data and used to calculate annual consumption and expenditures","1	330 days or more
2	At least 146, but less than 330 days
3	At least 60, but less than 146 days
4	Less than 60 days
5	No billing data collected or billing data not used
-2	Not applicable, no natural gas consumption
"
"ZNGAMOUNT","Imputation flag for total natural gas usage","1	Imputed  (No billing data collected or billing data not used)
0	Not imputed
-2	Not applicable, no natural gas consumption
"
"FOXBTU","Fuel oil/kerosene to Btu conversion factor, 2015","137.45 	Thousand Btu per gallons of #2 fuel oil
135	Thousand Btu per gallons of kerosene
135.48, 136.79, 137.37	Thousand Btu per gallons of other fuels
"
"PERIODFO","Number of days covered by Energy Supplier Survey fuel oil/kerosene billing data and used to calculate annual consumption and expenditures","1	365 days (complete)
2	Less than 365 days (incomplete)
5	No delivery data collected
-2	Not applicable, no fuel oil consumption
"
"ZFOAMOUNT","Imputation flag for total fuel oil/kerosene usage","1	Imputed (No billing data collected or billing data not used)
0	Not imputed
-2	Not applicable, no fuel oil consumption
"
"LPXBTU","Propane to Btu conversion factor, 2015","91.33	Thousand Btu per gallons of propane
"
"PERIODLP","Number of days covered by Energy Supplier Survey propane billing data and used to calculate annual consumption and expenditures","1	365 days (complete)
2	Less than 365 days (incomplete)
5	No delivery data collected
-2	Not applicable, no propane consumption
"
"ZLPAMOUNT","Imputation flag for total propane usage","1	Imputed (No billing data collected or billing data not used)
0	Not imputed
-2	Not applicable, no propane consumption
"
NA,NA,"NA	NA
"
"Note: For each variable used as input for the end-use models, the model it appears in are indicated as follows:
SPH: Space heating
AHUHEAT: Air handlers for heating 
COL: Air conditioning
AHUCOL: Air handlers for cooling
EVAPCOL: Evaporative coolers
FANS: Fans
DHUM: Dehumidifiers
HUM: Humidifiers
WTH: Water heating
LGT: Lighting
RFG: Refigerators
FRZ: Freezers
DWH: Dishwashers
COK: Stoves, cooktops, and ovens
MICRO: Microwaves
TVREL: Televisions and related
CW: Clothers washers
CDR: Clothes dryers
PLPMP: Pool pumps
PLHEAT: Pool heaters
HTBPMP: Hot tub pumps
HTBHEAT: Hot tub heaters
NEC: Not elsewhere classified",NA,"NA	NA
"
